Sample	raw_total_sequences	reads_mapped	reads_mapped_percent	coverage
WN2011	60.33	59.63	98.8	45
WN2013	65.53	64.77	98.8	46
WN2014	50	49.46	98.9	37
WN2016	75.65	74.76	98.8	55
WN2017	68.8	67.6	98.2	46
WN2018	50.23	49.34	98.2	37
WN2019	62.5	61.68	98.7	48
WN2020	53.45	52.72	98.6	39
WN2021	28.52	28.14	98.7	20
WN2033	39.87	39.55	99.2	41
WN2035	33.77	33.39	98.9	31
WN2039	57.04	56.36	98.8	50
WN2050	38.22	37.82	98.9	35
WN2056	44.47	43.98	98.9	40
WN2059	33.35	26.91	80.7	29
WN2060	80.25	79.62	99.2	48
WN2062	59.63	58.88	98.7	44
WN2063	81.95	81.2	99.1	49
WN2064	87.56	86.76	99.1	44
WN2065	70.51	69.99	99.3	49
WN2066	85.22	84.63	99.3	54
WN2067	42.31	41.88	99	46
WN2068	39.16	38.95	99.5	42
WN2069	37.97	37.73	99.4	41
WN2070	21.46	21.35	99.5	25
WN2071	50.47	50.24	99.5	31
WN2073	42.94	42.8	99.7	27
WN2074	24.48	24.35	99.5	28
WN2075	34.58	34.46	99.6	38
WN2076	19.55	19.47	99.6	22
XZ1513	42.62	40.08	94	37
XZ1514	47.3	42.96	90.8	40
XZ1515	73.88	70.4	95.3	66
XZ1516	42.31	39.82	94.1	35
XZ1672	25.38	25.22	99.4	27
XZ1734	34.42	34.12	99.1	36
XZ1735	27.35	27.2	99.5	29
XZ1756	28.42	28.23	99.3	30
XZ2018	29.67	29.58	99.7	33
XZ2019	34.81	34.42	98.9	37
XZ2020	24.1	23.76	98.6	25
XZ2210	69.47	61.96	89.2	53
XZ2211	45.38	44.96	99.1	41
XZ2212	63.26	62.1	98.2	55
