Sample	raw_total_sequences	reads_mapped	reads_mapped_percent	coverage
AB1	85.02	84.5	99.4	64
AB4	190.94	188.86	98.9	152
BRC20067	38.8	35.9	92.5	30
BRC20113	43.18	41.42	95.9	38
BRC20231	56.18	47.58	84.7	43
BRC20263	51.1	48.94	95.8	45
CB4852	337.88	336.26	99.5	253
CB4854	51.09	50.83	99.5	38
CB4856	125.93	123.97	98.4	89
CB4932	137.98	137.2	99.4	109
CX11254	63.1	62.09	98.4	46
CX11262	49.89	49.3	98.8	38
CX11264	178.56	176.34	98.8	127
CX11271	95	94.26	99.2	62
CX11276	60.66	59.95	98.8	45
CX11285	199.88	197.51	98.8	155
CX11292	122.4	121.58	99.3	91
CX11307	70.35	69.66	99	51
CX11314	71.66	70.94	99	53
CX11315	61.66	60.93	98.8	49
DL200	44.16	43.85	99.3	35
DL226	97.65	96.7	99	71
DL238	175.53	172.03	98	118
ECA1069	74.79	74.43	99.5	51
ECA1070	22	21.84	99.3	25
ECA1071	59.23	58.9	99.4	34
ECA1072	34.69	34.53	99.5	20
ECA1073	36.52	36.22	99.2	24
ECA1074	65.67	65.29	99.4	39
ECA1101	35.95	34.77	96.7	23
ECA1102	57.75	56.54	97.9	35
ECA1103	77.38	75.75	97.9	42
ECA1104	53.64	52.48	97.8	30
ECA1105	53.36	52.17	97.8	34
ECA1106	59.96	58.65	97.8	32
ECA1107	40.08	39.18	97.8	22
ECA1185	33.35	32.82	98.4	26
ECA1186	32.73	32.21	98.4	25
ECA1191	27.19	26.83	98.7	22
ECA1193	29.44	28.35	96.3	23
ECA1194	23.62	23.42	99.2	20
ECA1195	38.17	35.32	92.5	28
ECA1196	24.69	16.05	65	10
ECA1201	28.31	27.85	98.4	22
ECA1203	29.92	29.48	98.5	24
ECA1205	29.34	28.63	97.6	22
ECA1208	31.3	30.94	98.9	26
ECA1212	39.75	38.93	97.9	31
ECA1213	26.66	26.14	98	22
ECA1214	32.23	31.8	98.7	26
ECA1215	27.19	26.66	98	23
ECA1216	36.07	35.74	99.1	29
ECA1217	37.84	36.67	96.9	29
