Sample	raw_total_sequences	reads_mapped	reads_mapped_percent	coverage
ECA1242	20.38	20.2	99.1	17
ECA1243	24.61	24.45	99.4	21
ECA1244	27.98	27.82	99.4	23
ECA1245	23.42	23.27	99.4	19
ECA1246	23.77	23.57	99.2	19
ECA1247	38.58	38.22	99.1	31
ECA1249	37.26	36.95	99.2	33
ECA1250	18.19	17.87	98.2	15
ECA1251	23.79	23.45	98.6	19
ECA1252	40.5	40.07	98.9	36
ECA1253	39.76	39.34	98.9	31
ECA1254	33.21	32.93	99.2	31
ECA1255	36.77	35.99	97.9	29
ECA1256	31.2	30.57	98	24
ECA1257	28.03	27.68	98.7	24
ECA1258	24.8	24.49	98.7	21
ECA1259	25.91	25.72	99.3	21
ECA1260	34.17	33.89	99.2	26
ECA1261	21.32	21.14	99.1	18
ECA1262	29.11	28.83	99	23
ECA1263	26.3	26.04	99	20
ECA1264	25.22	24.88	98.6	21
ECA1265	19.88	19.48	98	16
ECA1266	50.19	49.5	98.6	38
ECA1267	22.53	22.26	98.8	19
ECA1268	28.01	27.5	98.2	21
ECA1269	28.2	27.13	96.2	22
ECA1270	22.72	21.8	96	19
ECA1271	24.43	24.24	99.2	20
ECA1272	30.09	29.84	99.1	24
ECA1273	37.22	36.86	99	29
ECA1274	21.12	20.89	98.9	18
ECA1275	26.47	26.04	98.4	21
ECA1276	32.86	32.44	98.7	27
ECA1277	28.93	28.7	99.2	23
ECA1278	29.15	28.91	99.2	24
ECA1279	37.17	36.88	99.2	29
ECA1281	43.3	42.98	99.3	35
ECA1282	29.06	28.86	99.3	24
ECA1283	38.07	37.77	99.2	29
ECA1284	35.75	35.47	99.2	28
ECA1285	29.4	29.14	99.1	24
ECA1286	40.76	40.41	99.1	32
ECA1287	28.3	28.05	99.1	22
ECA1288	51.62	51.04	98.9	40
ECA1289	33.46	32.89	98.3	26
ECA1290	26.86	26.51	98.7	21
ECA1291	36.57	36.39	99.5	29
ECA1292	36.06	35.86	99.4	28
ECA1293	55.17	54.71	99.2	45
ECA1294	29.34	29.09	99.2	23
ECA1295	37.42	37.21	99.4	30
ECA1296	34.8	34.6	99.4	27
ECA1297	25.67	25.47	99.2	24
ECA1298	49.6	49.34	99.5	38
ECA1316	66.18	65.97	99.7	47
ECA1385	26.97	26.71	99.1	21
ECA1389	34.54	34.36	99.5	28
ECA1391	30.3	30.12	99.4	23
ECA1409	46.05	45.52	98.8	29
ECA1413	36.27	35.84	98.8	28
ECA1415	27.68	27.29	98.6	22
ECA1441	28.26	27.95	98.9	23
ECA1465	25.56	25.14	98.4	20
ECA1467	28.23	27.76	98.3	22
ECA1493	42.71	36.01	84.3	28
ECA1515	35.46	34.11	96.2	26
ECA1689	25.94	25.76	99.3	19
ECA1691	33.81	33.56	99.3	28
ECA1693	23.73	23.58	99.3	21
ECA1695	39.7	39.41	99.3	32
ECA1709	21.19	20.28	95.7	18
ECA1711	29.63	29.07	98.1	25
ECA1713	35.68	34.78	97.5	29
ECA1715	37.1	33.06	89.1	29
ECA1717	35.32	32.59	92.3	28
ECA1718	25.78	25.49	98.9	24
ECA1721	27.11	26.87	99.1	20
ECA1723	41.15	40.52	98.5	34
ECA1725	42.03	41.53	98.8	27
ECA1727	33.87	33.35	98.5	27
ECA1729	21.63	21.31	98.5	18
ECA1731	45.75	37.16	81.2	25
ECA1733	37.52	37.21	99.2	25
ECA1735	39.78	39.38	99	28
ECA1737	33.67	33.18	98.5	28
ECA1739	35.81	35.33	98.7	24
ECA1741	41.25	40.76	98.8	34
ECA1743	16.23	16	98.6	15
ECA1745	41.55	41.18	99.1	28
ECA1747	47.45	46.57	98.1	39
ECA1749	44.39	43.6	98.2	36
ECA1751	50.84	50.18	98.7	41
ECA1753	34.98	34.46	98.5	30
ECA1755	33.33	33.14	99.4	23
ECA1757	42.31	42.07	99.4	28
ECA1759	27.04	26.86	99.3	18
ECA1761	27.02	26.71	98.8	19
ECA1763	46.41	45.79	98.7	35
ECA1765	25.81	25.53	98.9	18
ECA1767	23.01	22.71	98.7	19
ECA1769	49.42	48.63	98.4	40
ECA1771	39.53	38.99	98.7	33
ECA1779	30.36	30.05	99	24
ECA1781	59.92	59.52	99.3	43
ECA1783	30.81	30.56	99.2	25
ECA1785	27.88	27.68	99.3	20
ECA1787	18.85	18.71	99.2	14
ECA1789	19.52	19.35	99.1	16
ECA1791	23.12	22.93	99.2	17
ECA1793	25.15	24.8	98.6	22
ECA1795	24.35	24.12	99.1	18
ECA1797	24.65	24.44	99.1	17
ECA1799	28.64	28.49	99.5	24
ECA1801	44.76	44.5	99.4	42
ECA1803	31.69	31.5	99.4	25
ECA1805	39.45	39.24	99.5	34
ECA1807	34.1	33.79	99.1	27
ECA1809	30.27	30.02	99.2	24
ECA1811	26.45	26.21	99.1	22
ECA1813	32.66	32.46	99.4	28
ECA1815	34.97	34.73	99.3	28
ECA1817	35.07	34.78	99.2	27
ECA1819	28.35	28.13	99.2	23
ECA1821	45.27	43.07	95.2	36
ECA1823	24.65	22.72	92.1	19
ECA1825	34.02	30.06	88.4	24
ECA1827	30.78	27.07	87.9	21
ECA1829	56.58	51.18	90.5	41
ECA1831	178.32	18.98	10.6	16
ECA1833	31.37	29.9	95.3	24
ECA1835	43.79	43.41	99.1	30
ECA1837	26.33	25.82	98.1	22
ECA1839	39.32	38	96.7	31
ECA1841	122.4	63.48	51.9	45
ECA1843	48.16	26.34	54.7	24
ECA1845	22.65	22.35	98.7	16
ECA1847	26.51	24.29	91.6	22
ECA1849	29.26	27.71	94.7	23
ECA1851	43.69	41.63	95.3	36
ECA1853	88.25	45.67	51.7	39
ECA1855	15.37	15.08	98.1	15
ECA1857	17.02	16.59	97.5	16
ECA1859	118.55	44.12	37.2	33
ECA1861	63.31	37.21	58.8	30
ECA1863	51.16	34.67	67.8	27
ECA1865	35.71	34.63	97	27
ECA1867	38.92	37.62	96.6	29
ECA1869	20.2	19.88	98.4	17
ECA1871	41.18	40.81	99.1	32
ECA1873	31.16	30.72	98.6	26
ECA1875	44.71	44.4	99.3	35
ECA1877	22.85	22.49	98.4	16
ECA1878	22.02	21.78	98.9	20
ECA1885	27.54	27.18	98.7	18
ECA1887	40.38	39.82	98.6	26
ECA1889	24.99	24.79	99.2	17
ECA189	44.32	43.73	98.7	35
ECA1891	26.16	25.98	99.3	17
ECA1895	31.82	31.53	99.1	24
ECA1897	46.84	46.48	99.2	34
ECA190	57.19	56.47	98.8	44
ECA1901	33.73	32.9	97.6	28
ECA1903	41.78	40.11	96	32
ECA1907	35.01	34.64	98.9	23
ECA1909	28.71	28.28	98.5	19
ECA191	47.12	46.1	97.8	42
ECA1911	25.86	21.19	82	15
ECA1913	22.71	22.49	99	15
ECA1915	35.28	35.03	99.3	25
ECA1917	57.11	56.55	99	51
ECA1919	29.14	28.87	99.1	26
ECA192	44.35	43.8	98.7	29
ECA1921	26.35	26.15	99.3	20
ECA1923	23.86	23.69	99.3	17
ECA1925	46.75	45.98	98.4	36
ECA1927	27.52	27.26	99.1	25
ECA1929	21.79	21.61	99.2	17
ECA193	49.83	49.17	98.7	41
ECA1931	28.44	28.26	99.4	24
ECA1933	32.61	32.4	99.4	26
ECA1935	36.38	36.09	99.2	30
ECA1937	31.57	31.36	99.3	27
ECA1939	34.02	33.8	99.4	29
ECA1943	40.66	40.4	99.4	33
ECA1951	33.05	32.82	99.3	27
ECA1953	36.33	36.08	99.3	28
ECA1967	22.75	22.51	98.9	16
ECA1969	44.99	44.58	99.1	30
ECA1971	43.43	41.22	94.9	32
ECA1973	29.22	28.6	97.9	24
ECA1975	52.97	52.04	98.2	34
ECA1977	29.93	29.68	99.2	20
ECA1979	37.19	34.91	93.9	29
ECA1981	31.97	29.1	91	20
ECA1983	33.92	33.35	98.3	22
ECA1985	25.99	24.33	93.6	17
ECA1987	39.58	37.69	95.2	31
ECA1989	28.34	27.79	98.1	19
ECA1991	37.42	33.4	89.3	22
ECA1995	36.72	36.33	98.9	25
