strain	longitude	latitude	isolation	location
NIC1	5.3543	43.279	rotting fruit	Marseille, France
NIC2	5.3543	43.279	rotting plant	Marseille, France
NIC3	5.3215	43.3636	rotting figs	Marseille, France
NIC4	5.3215	43.3636	rotting figs	Marseille, France
NIC166	6.89775	46.72722	immature prunes	Canton of Vaud, Switzerland
NIC195	-28.37322	38.545874	apple	Santa Aana, Azores
NIC196	-28.20149	38.4716405	grapes	Pranhia, Azores
NIC197	-28.25165	38.39682	apple	Poco dos Patas, Azores
NIC198	-31.23849	39.4364016	humus	Poco dos Patas, Azores
NIC199	-25.19929	37.745428	humus	Faial da Terra, Azores
NIC200	-25.66489	37.74942	unknown fruit	Ponta Delgada, Azores
NIC207	7.24045	43.720505	rotting oranges	Nice, France
NIC231	7.24045	43.720505	rotting oranges	Nice, France
NIC232	7.24045	43.720505	rotting oranges	Nice, France
NIC236	-9.313417	39.242006	rotting fruit	Lourinha, Portugal
NIC237	-9.313417	39.242006	rotting fruit	Lourinha, Portugal
QG556	-119.702021	34.421629	rotting orange peel, with snails	Santa Barbara, CA
QG557	-119.702021	34.421629	rotting orange peel, with snails	Santa Barbara, CA
QG558	-119.702021	34.421629	rotting orange peel, with snails	Santa Barbara, CA
CX11271	-118.12532	34.13712	compost	Los Angeles, USA
CX11285	-118.05496	34.14331	compost	Los Angeles, USA
DL200	38.74	9.03		Addis Ababa, Ethiopia
JU1896	23.749673	37.999722	rotten olives	Athens, Greece
ECA259	NA	NA	from a snail from Connecticut Valley Biological Supply	NA
EG4347	-123.07108	44.04789	NA	Eugene, USA
MY1	7.31	52.54		Lingen, Germany
MY23	7.53	51.96		Roxel, Germany
JU258	-16.89	32.73	along a path through an orchard	Ribeiro Frio, Madeira
DL238	-155.82	19.22		Manuka, HI
LKC34	46	-18		Unknown city, Madagascar
LSJ1	-2.59	51.45	mushroom compost	Bristol, United Kingdom
JU1200	-4.6	55.577	compost	Dundonald, United Kingdom
ED3011	-3.19	55.92	NA	Edinburgh, Scotland
EG4946	-111.82184	40.72596	NA	Salt Lake City, USA
JU363	2.23	48.98	Compost heap in Claude Pieau's garden	Francoville, France
ED3073	36.39	-1.05		Limuru, Kenya
JT11398	-122.275484	47.763944	Worm bin fed kitchen scraps and espresso grounds	Lake Forest Park, USA
JU1586	1.06	46.63	rotting grape puree	Le Blanc, France
JU830	9.05	48.52	compost	Tubingen, Germany
JU847	7.461	48.46	compost from vegetable garden/vineyards	Obernai, France
JU1212	-3.81	48.71	rotting arum stem	Primel Tregastel, France
ECA258	NA	NA	from a snail from Connecticut Valley Biological Supply	NA
AB1	138.59	-34.93	NA	Adelaide, Australia
ED3052	19.19	-33.22		Ceres, South Africa
ED3077	NA	NA		Nairobi, Kenya
JU360	2.23	48.98	Compost heap in Claude Pieau's garden	Francoville, France
JU1530	2.1725	48.7015	rotting apple	Orsay, France
JU1652	-56.19	-34.86	compost	Montevideo, Uruguay
JU2007	-1.3	50.6	rotting apple	Cowes, Isle of Wight, UK
AB4	138.59	-34.93		Adelaide, Australia
ECA248	-122.14	37.44	compost	Palo Alto, USA
CB4932	-3.1	51.02	mushroom farm	Taunton, United Kingdom
CX11276	-118.21198	34.20111		Los Angeles, USA
DL226	-123.2821	44.5633		Corvalis, USA
ED3017	-3.19	55.92		Edinburgh, Scotland
ED3046	19.19	-33.22		Ceres, South Africa
ED3048	19.19	-33.22		Ceres, South Africa
EG4349	-111.87316	40.771467		Salt Lake City, USA
EG4725	-8.347617	41.628771		Amares, Portugal
JU315	4.4	44.2	pomatias elegans (?) snails	Merlet, France
JU346	4.4	44.2	 From a Glomeris myriapod in the compost pile	Merlet, France
JU367	2.23	48.98	Compost heap in Claude Pieau's garden	Francoville, France
JU393	-0.32	49.28	compost	Hermanville, France
JU440	1.56	48.715	compost	Beauchene, France
JU561	-3.81	48.71	Isolated from a sowbug found in the tub of compost from Hent ar Rhun, Finistere, France	Sainte-Barbe, France
JU782	-9.1503	38.7191	botanical gardens	Lisbon, Portugal
JU1172	-73.04	-36.87	compost with rotting tomatoes	Concepcion, Chile
JU1516	2.1725	48.7015	rotting apple	Orsay, France
JU1580	2.1725	48.7015	rotting apple	Orsay, France
JU1242	1.9595	49.1269	black slug	Santeuil, France
JU1246	1.96152	49.12618	rotting apple	Santeuil, France
KR314	-123.13	49.28		Vancouver, Canada
MY10	7.53	51.96		Roxel, Germany
MY16	7.57	51.93		Mecklenbeck, Germany
PB303	NA	NA	came from a snail from Ward's Biological Supply	NA
PS2025	-118.13	34.19	garden	Altadena, USA
QG537	-122.4331	37.7502	rotten solanaceous fruit, Buena Vista Park	San Francisco, USA
QG538	-122.4331	37.7502	rotten solanaceous fruit, Buena Vista Park	San Francisco, USA
QX1211	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1791	-156.3935	20.6344	rotting bark, base of eucalyptus tree	Maui, USA
QX1792	-156.35475	20.70554	rotting orange flowers	Maui, USA
ECA243	0.48	44.85	NA	Bergerac, France
ECA246	-118.131	34.189	organic garden	Altadena, USA
CB4854	-118.131	34.189	vegetable garden	Altadena, USA
CB4856	-157.86	21.33	pineapple field	Oahu, Hawaii
CX11307	-118.10987	34.12946	Huntington Gardens	Los Angeles, USA
CX11315	-118.10987	34.12946	Huntington Gardens	Los Angeles, USA
ED3005	-3.36	55.94		Edinburgh, United Kingdom
ED3012	-3.19	55.92		Edinburgh, Scotland
ED3040	28.01	-26.1		Johannesburg, South Africa
ED3049	19.19	-33.22		Ceres, South Africa
EG4724	-8.347617	41.628771		Amares, Portugal
GXW1	114.419828	30.542889	soil under kiwi fruit in botanical garden	Wuhan City, China
JU310	1.06	46.63	vegetable garden	Le Blanc, France
JU311	4.4	44.42	wash from snails from under a tree of ivy	Merlet, France
JU323	4.4	44.42	From a helix snail #3 on the trunk of a mulberry tree	Merlet, France
JU397	-0.32	49.28	compost	Hermanville, France
JU406	-0.32	49.28	compost	Hermanville, France
JU642	2.5	48.84	Isolated from the compost heap in Jean-Antoine Lepesants garden	Le Perreux-sur-Marne, France
JU751	2.5	48.44	Isolated from the compost heap in Jean-Antoine Lepesants garden	Le Perreux-sur-Marne, France
JU774	-9.34	38.683	garden garbage	Carcavelos, Portugal
JU775	-9.1486	38.7175	botanical gardens	Lisbon, Portugal
JU792	0.24	43.06	compost	Frechendets, France
JU1213	-3.81	48.71	rotting apple	Primel Tregastel, France
JU1395	0.04619	47.2199	compost with shiitake mushrooms	Saut-aux-Loups, France
JU1400	-5.988	37.3845	rotting oranges	Sevilla, Spain
JU1409	-5.637	37.468	rotting cactus fruit	Carmona, Spain
JU1440	2.15231	41.41307	rotting palm fruits	Barcelona, Spain
JU1491	1.06	46.63	rotting arum stem	Le Blanc, France
JU1568	2.3862	48.8092	rotting Petasites stem	Ivry-sur-Seine, France
JU1581	2.1725	48.7015	rotting apple	Orsay, France
JU2001	55.5	-21.1		La Reunion
MY18	7.53	51.96		Roxel, Germany
ECA253	-2.59	51.45	mushroom compost	Bristol, United Kingdom
PX179	-123.058	44.035	snail from under a rock in the rhododendron garden	Eugene, USA
QX1212	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1213	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1214	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1215	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1794	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA
RC301	7.84	47.99		Freiburg, Germany
WN2001	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
CB4852	NA	NA		Unknown
ECA250	-117.719	34.096	rotting mushroom	Claremont, USA
ECA247	-122.13	37.43	compost	Palo Alto, USA
CX11254	-118.30582	34.13531		Los Angeles, USA
CX11292	-118.30582	34.13531		Los Angeles, USA
CX11314	-118.10987	34.12946		Los Angeles, USA
CX11262	-118.10987	34.12946		Los Angeles, USA
ECA249	-117.719	34.096		Claremont, USA
CX11264	-118.10987	34.12946		Los Angeles, USA
QG536	-122.4331	37.7502		San Francisco, USA
ECA244	0.48	44.85		Bergerac, France
