strain	longitude	latitude	isolation	location
ECA251	-118.1	34.1		Pasadena, USA
ECA245	-118.131	34.189	vegetable garden	Altadena, USA
QX1216	-122.4331	37.7502	rotting orange	San Francisco, USA
QX1233	-122.2838	37.8804	isolated from Jason Stajich	Berkeley, USA
WN2002	5.694834	51.975285		Wageningen, Netherlands
QX1793	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA
ECA252	-118.1	34.1	flowerbed	Pasadena, USA
JU1088	138.0149	34.7613	soil in the Kacho-en aviary	Kakegawa, Japan
N2	-2.59	51.45	mushroom compost	Bristol, United Kingdom
ECA254	-2.59	51.45	mushroom compost	Bristol, United Kingdom
WN2010	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2011	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2013	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2014	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2016	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2017	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2018	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2019	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2020	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
WN2021	6.303406	51.954422	snail from organic waste bin	Doetichem, Netherlands
JU778	-9.1491	38.719	botanical gardens	Lisbon, Portugal
JU394	-0.32	49.28	compost	Hermanville, France
JT11362	-122.275484	47.763944	Worm bin w kitchen scraps and espresso grounds	Lake Forest Park, USA
QX1792 #2	-156.35475	20.70554	rotting orange flowers	Maui, USA
QX1791 #2	-156.3935	20.6344	rotting bark, base of eucalyptus tree	Maui, USA
QX1794 #2	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA
QX1793 #2	-156.35678	20.70559	Wilma's vermiculate compost bin	Maui, USA
QG537 #2	NA	NA		San Francisco, USA
QG538 #2	NA	NA		San Francisco, USA
QG536 #2	NA	NA		San Francisco, USA
QG558 #2	-119.702021	34.421629	rotting orange beneath a non-edible fig tree; orange had large snail and two slugs	Santa Barbara, USA
QG2075	-83.376	33.951	store-bought mushrooms in a mushroom-feeding Drosophila vial	Athens, Georgia, USA
JU2464	-72.525	-13.155	fleshy fruit; rotten berry?	Aguas Calientes, Peru
JU2466	-72.266	-13.257	lemon	Ollantaytambo, Peru
JU2467	-72.525	-13.155	fleshy fruit; rotten berry?	Aguas Calientes, Peru
JU2468	-72.525	-13.155	fleshy fruit; rotten berry?	Aguas Calientes, Peru
QW947	-70.6106	-33.4213	compost heap with moist rotting grass (urban park) at Univerisdad Mayor, Camino la Piramide	Santiago, Chile
NIC255	7.266779	43.714834	isolated from a rotting orange trap (trap set date: 10.27.2012)	Parc Valrose
NIC256	-9.14875	38.71829	fruits palm tree (olive size) ;Botanical garden	Lisbon, Portugal
NIC267	-9.31592	38.69237	Orange fruits ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
NIC277	7.266138	43.716441	Isolated from rotting orange (trap); trap set on 2012-11-27	Parc Valrose
NIC258	-9.14875	38.71829	fruits palm tree (large) ;Botanical garden	Lisbon, Portugal
NIC260	-9.14875	38.71829	fruits, osage orange (Maclura pomifera ;Botanical garden	Lisbon, Portugal
NIC262	-9.14875	38.71829	Strelitzia flower (inside) ;Botanical garden,	Lisbon, Portugal
NIC263	-9.14875	38.71829	fruits palm tree (olive size) ;Botanical garden	Lisbon, Portugal
NIC268	-9.31592	38.69237	Orange fruits ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
NIC270	-9.14875	38.69237	Orange fruits, litter, humus ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
NIC271	-9.31592	38.69237	Magnolia fruits (woody) ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
NIC275	-8.756356	39.769459	chestnuts, husks ;Garden,old farmhouse,	Alqueidao da Boavista, Portugal
NIC276	-8.756356	39.769459	Kaki fruit remains, litter, (under Kaki tree) ;Garden,old farmhouse,	Alqueidao da Boavista, Portugal
NIC251	28.151364	38.66621	Rotting yellow berries from shrub. 	Ribeira do Nabo, Urzelina, S. Jorge, Azores
NIC252	-28.147949	38.661313	Rotting fruit (?) from Camelia.	Ribeira do Nabo, Urzelina, S. Jorge, Azores
NIC261	-9.14875	38.71829	fruits, Silene sp.? ;Botanical garden,	Lisbon, Portugal
NIC265	-9.14875	38.71829	flowers, fruits, humus sample ;Botanical garden	Lisbon, Portugal
NIC273	-8.756356	39.769459	litter, walnuts, isopods ;Garden,old farmhouse	Alqueidao da Boavista, Portugal
NIC269	-9.31592	38.69237	Orange fruits ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
NIC272	-8.756356	39.769459	litter, walnuts, isopods ;Garden,old farmhouse	Alqueidao da Boavista, Portugal
JU2513	22.0736	38.26016	rotting orange	Aigio, Greece
NIC259	-9.14875	38.71829	fruits, Opuntia-like plant ;Botanical garden	Lisbon, Portugal
NIC274	-8.756356	39.769459	figs, litter ;Garden,old farmhouse	Alqueidao da Boavista, Portugal
NIC242	-9.31609	38.691765	Isolated at IGC	Oeiras, Portugal
NIC266	-9.31592	38.69237	flowers (grapes) from tree ;Jardim do Palacio do Marques de Pombal	Oeiras, Portugal
BRC20067	121.169736	24.072954	unknown orangish-yellowish colored fruit	near Hehuanshan and W LIng in China
ECA257	NA	NA	NA	NA
ECA260	-157.86	21.33	pineapple field	NA
CB4856 (CGC #2) - DO NOT USE!!!!!!!!!	-157.86	21.33	pineapple field	NA
JU2316	-9.1486	38.7175	Isolated from rotten Ficus macrophylla fruits; botanical gardens	Lisbon, Portugal
JU2519	-9.1486	38.7175	Isolated from rotten Ficus isophlebia fruits; botanical gardens	Lisbon, Portugal
JU2522	-9.1486	38.7175	Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae); botanical gardens	Lisbon, Portugal
JU2526	-9.1486	38.7175	Isolated from rotten fruits of Chrysophyllum imperiale; botanical gardens	Lisbon, Portugal
ECA36	174.745529	-36.893333	garden grass	Auckland, New Zealand
LSJ2	-2.59	51.45	mushroom compost	Bristol, United Kingdom
JU2574	76.975	8.4	solated from rotting stems (banana stems?)	Kovalam (Kerala, India)
CB4856 (CGC #3)	-157.86	21.33	pineapple field	Oahu, Hawaii
ECA255	-2.59	51.45	mushroom compost	Bristol, United Kingdom
JU2016	-122.463177	37.757593	rotten pumpkin	San Francisco, USA
JU2017	-122.463177	37.757593	rotten sweet potato	San Francisco, USA
JU2131	-4.705	48.0497	rotting Heracleum stem	Baie des Trepasses (Finistere), France
JU2250	-1.891389	48.285278	apple	Cardroc (Ile et Vilaine, France)
JU2460	-3.9251	48.6934	rotting cabbage leaves	Ile Callot (Finistere, France)
JU2461	-69.289488	-12.801653	rotting carambola	Madre de Dios (Peru)
JU2478	4.351	50.85	Denis Thieffry's compost heap	Brussels, Belgium
JU2575	3.0707	49.0857	rotting Heracleum stem	Crouy-sur-Ourcq (Seine-et-Marne), France
JU2619			compost	Arizona
ECA189	155.2225	19.423889	next to a yacon plant	Near Volcano National Park
ECA190	155.2225	19.423889	next to a yacon plant	Near Volcano National Park
ECA191	155.221944	19.424167	rotting ginger heap	Near Volcano National Park
ECA192	155.221944	19.424444	garden trash pile by road	Near Volcano National Park
ECA193	155.221944	19.424444	garden trash pile by road	Near Volcano National Park
JU312	4.407923	44.421936	Wash from snail tube - snails coming from under a tree full of ivy	Merlet, Lagorce (Ardeche), France
JU345	4.407923	44.421936	Glomeris myriapod in the compost pile (same myriapod as JU343, JU344, JU346)	Merlet, Lagorce (Ardeche), France
JU1395	0.045399	47.22032	shiitake mushroom compost remains outside the mushroom farm Le Saut-aux-Loups,	Montsoreau, France
JU1530MAF	2.2131	48.662134	rotting apple O21 (tree Wealthy, like O20), sampled in the Orsay orchard	Orsay, France
JU1656	-3.972104	48.725018	rotting fern stem (Pteridium aquilinum	Sainte-Barbe (Finistere), France
JU1666	-3.972104	48.725018	rotting sloe	Sainte-Barbe (Finistere), France
JU1762	-3.790033	48.695548	rotting Heracleum stem	Plougasnou, Finistere, France
JU1770	-3.790033	48.695548	rotting fern stem	Plougasnou, Finistere, France
JU1792	1.064289	46.63278	rotting Arum stem sampled in woods	le Blanc (Indre), France
JU1793	1.95114	49.12604	rotting Heracleum stem	Santeuil (Val d'Oise), France
JU1807	2.2131	48.662134	rotting apple O145 (Kidd's Orange)	Orsay, France
JU1808	2.395372	48.81257	Helix aspersa snail	Ivry (Val-de-Marne), Franc
JU1893	2.2131	48.662134	rotting apple	Orsay, France
JU1920	1.95114	49.12604	rotting Heracleum stem S60	Santeuil (Val d'Oise), France
JU1922	1.95114	49.12604	rotting Heracleum stem S68	Santeuil (Val d'Oise), France
JU1924	1.95114	49.12604	rotting Heracleum stem S73	Santeuil (Val d'Oise), France
JU1929	1.95114	49.12604	rotting Heracleum stem S86	Santeuil (Val d'Oise), France
JU1934	1.95114	49.12604	rotting Heracleum stem S106	Santeuil (Val d'Oise), France
JU1960	-118.131319	34.18973	compost in the same garden in Altadena as PS2025	Altadena, CA
JU2106	0.239824	43.606266	compost heap	 Frechendets (Hautes Pyrenees)
JU2139	1.064289	46.63278	 rotting acorns sampled in woods	le Blanc (Indre), France
JU2141	1.064289	46.63278	rotting walnuts (outer layer)	le Blanc (Indre), France
JU2151	1.95114	49.12604	rotting Heracleum stem S173	Santeuil (Val d'Oise), France
JU2234	-1.583	47.227	rotten plum	Nantes, France
JU2257	1.064289	46.63278	compost (in container) sampled in the garden in le Blan	le Blanc (Indre), France
JU2287	1.064289	46.63278	compost (in container) sampled in the garden in le Blan	le Blanc (Indre), France
JU2527	-3.5999	47.8797	rotten apples 	Mellac (Finistere), France
JU2534	0.097087	49.357921	 cherry	
JU2565	1.066213	44.958394	rotting figs	Perigord, France
JU2566	2.44599	48.83886	rotting Gunnera stems in the Parc Floral	Vincennes, France
JU2570	-0.2685	46.2657	rotting walnuts	Niort, Mougon, Deux Sevres, France
JU2572	2.395372	48.81257	 rotting Petasites stems	Ivry (Val-de-Marne), Franc
JU2576	3.072	49.0861	rotting stem	Crouy-sur-Ourcq (Seine-et-Marne), France
JU2578	2.4315	48.87613	compost in the jardin partage in Bagnolet	Bagnolet (Seine-Sainte-Denis), France
JU2581	1.064289	46.63278	pears sampled in the garden in Le Blanc	le Blanc (Indre), France
JU2586	2.159459	48.497005	rotting pear	Chatou (Yvelines, France)
JU2587	3.872016	45.026713	compost	Vals-pres-Le-Puy (Haute-Loire), France
JU2592	-2.403836	48.628558	rotting peach	Plurien (Cotes d'Armor, France)
JU2593	2.222334	48.822556	compost	Hauts de Seine, France
JU2600	1.9496	49.1242	rotting apple across the river from the station	Santeuil(Val d'Oise), France,
JU2604	1.86175	49.16477	rotting walnut	Nucourt (Val d'Oise), France.
JU2605	1.86	49.166	rotting apple 	Nucourt (Val d'Oise), France.
JU2610	1.7915	49.1075	rotting apple 	Arthies and Wy-di-tJoli-Village (Val d'Oise), France
JU2611	5.0628	43.8658	rotting apple (same apple as JU2616)	South of Isle-sur-Sorgue (Vaucluse), France
JU2771	0.991728	47.410058	rotting stems sampled in the park of Chateau du Clos Luce	Amboise, Indre-et-Loire, France
JU2800			rotting pear	Cachan, France
JU2802	2.14167	48.9067	rotting rhubarb stems in a private garden of Montesson	Yvelines, France
JU2811	151.219453	-33.8632	rotting ficus fruit collected in the Royal Botanical Garden, Sydney	Sydney, Australia
JU2825	2.3862	48.8092	otting Petasites stem	Ivry-sur-Seine (Val de Marne)
JU2828	1.064289	46.63278	rotting pears	le Blanc (Indre), France
JU2829	1.064289	46.63278	rotting pears	le Blanc (Indre), France
JU2830	1.064289	46.63278	rotting pears	le Blanc (Indre), France
JU2838	-97.98832	20.205961	rotten orange	Tenango, Puebla, Mexico
JU2841			slug	New Zealand
NIC501	2.2675	48.77302	Apples	Parc de la Vallee aux Loups, Chatenay-Malabry, France
NIC508	14.261756	40.86183	Magnolia flowers	Botanical garden, Naples, Italy
NIC511	14.2623855	40.8625	Citrus fruits	Botanical garden, Naples, Italy
NIC512	14.2623855	40.8625	Citrus fruits	Botanical garden, Naples, Italy
NIC513	-9.167136	38.776038	Olives	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC514	-9.167136	38.776038	Olives	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC515	-9.165884	38.776775	Apples	Parque Botanico do Monteiro-Mor, Lisbon, Portugal
NIC521	-6.304441	36.535679	Small woody fruits, humus	Cadiz, Spain
NIC522	-6.304441	36.535679	Citrus fruit	Cadiz, Spain
NIC523	-6.29831	36.535679	Ficus fruits woody, humus	Cadiz, Spain
NIC526	-6.304441	36.535679	Fruit shells, woody	Cadiz, Spain
NIC527	-6.304441	36.535679	Citrus fruit	Cadiz, Spain
NIC528	-6.29831	36.535679	Orange 	Cadiz, Spain
NIC529	-4.784967	37.870754	Olives, litter, humus	Cordoba, Spain
NIC1049	1.45032	43.593561	Compost fresh	Botanical garden, Toulouse, France
NIC1107	7.266935	43.716278	Gingko fruits	Parc Valrose, Nice, France
XZ1513	-156.67	22.1	rotten small red berries	Pu'u Hinahina lookout on Kauai
XZ1514	-159.6	22.1	rotten small fruit (papaya or mango?)	Awa'awapuhi trail on Kauai
XZ1515	-159.6	22.1	rotten small berries	Awa'awapuhi trail on Kauai
XZ1516	-159.6	22.1	rotten small berries	Awa'awapuhi trail on Kauai
JU2853	-7.545	41.19	soil from a plant pot	Pinhao, Portugal
JU2860	0.115365	52.19842	rotting wood, fungus, rotting leaf sample	Coe Fen meadow, Cambridge (UK)
JU2862	0.1264	52.1944	rotting flowers of Napoleona vogelli in the heated greenhouse	Botanic Garden, Cambridge (UK).
BRC20113	121.283056	24.124167	fruit	Nantou, Taiwan
BRC20231	120.908112	23.541517	flower (on tree, rotting)	Nantou, Taiwan
BRC20263	151.2069889	-33.86748611		Sydney, Australia
JU2866	-118.4409	34.0751	unidentified rotting fruit, Murphy Sculpture Garden, UCLA Campus	Los Angeles, CA, USA
JU2878	-99.098769	19.29732	rotten berry sampled in a greenhouse	Cuemanco-Xochimilco, Mexico
JU2879	-99.098769	19.29732	rotten apple sampled in a greenhouse	Cuemanco-Xochimilco, Mexico
ECA274	-2.59	51.45	mushroom compost	Bristol, United Kingdom
MY2001	7.536628	51.950777	Isopod	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2004	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2011	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2014	7.536628	51.950777	brown slug	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2022	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2024	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2042	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2054	7.536628	51.950777	Isopod	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2078	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2097	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2099	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2109	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2121	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2137	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2138	10.117737	54.346355	brown slug	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2142	7.599099	51.950723	Isopod	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2143	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2144	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2147	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2198	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2199	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2208	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2212	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2224	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2239	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2282	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2288	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2291	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2294	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2338	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2339	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2344	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2347	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2373	10.117737	54.346355	Isopod	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2406	10.117737	54.346355	rotting apple compost	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2434	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2443	7.599099	51.950723	rotting apple compost	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2453	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2479	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2481	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2491	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2502	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2530	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2532	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2535	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2541	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2573	7.599099	51.950723	compost heap	Farming museum, Muenster, Nordrhein-Westfalen, Germany
MY2579	7.536628	51.950777	compost heap	Private garden, Roxel, Nordrhein-Westfalen, Germany
MY2585	10.117737	54.346355	compost heap	Botanical Garden, Kiel, Schleswig-Holstein, Germany
MY2622	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany
MY2630	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany
MY2635	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany
MY2636	10.11505	54.3491	myriapod	Botanical garden, Kiel, Germany
MY2640	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
MY2679	10.11505	54.3491	isopod	Botanical garden, Kiel, Germany
MY2682	10.11505	54.3491	invertebrate	Botanical garden, Kiel, Germany
MY2684	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
MY2685	10.11505	54.3491	isopod Oniscus asellus	Botanical garden, Kiel, Germany
MY2688	10.11505	54.3491	slug	Botanical garden, Kiel, Germany
